"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
No,I don't know ,I am not happy to see that schools have remained closed for these number of months without operating. 
Yes,To protect the children at school from getting the Virus ,The children need to stay in school they shouldn't be at home as they are now 
No,I don't know ,I just want my children to get back to school 
No,I don't know ,Our children are growing up and are getting spoilt because schools are not working. 
Somewhat,Because I don't know their plans,I am most worried about children returning to school. 
No,I don't know ,If CORONA slows down let schools be opened 
No,I am not a teacher,It will okay if the schools are open
Yes,facility are there,No problem
Somewhat,I am not a head teacher,I need the children to resume their study
Somewhat,I don't know,I wish the school should be open
No,I will be busy in the school,I wish the school should be open
Somewhat,I'm not sure,"My idea is that, let the school to be open "
Yes,Keep social distancing from one another.,Study hard.
Yes,Because to keep social distancing.,Reading the books.
Yes,Because of CoVID 19 social distancing.,To read and write.
Yes,Because to keep safe environment.,To keep social distancing from each other.
Yes,We will learn,To study
Yes,Measures against covid,Ready to go back to school
Somewhat,I am not sure,I wish the school should be open soon
No,Busy at home,I wish the school should be open
Yes,to learn more ,wants more knowledge 
Yes,The teachers and students have learned a lot about the pandemic and know the preventive measures,The concerns is the learners are not serious about their future and it them to come back to school
Yes,The school administration is going to provide washing facilities in the school,I am glad to hear that the school is to reopen because the learners are spoiling at home
Yes,The school administration will ensure the safety of the learners,I need to go back to school to learn
Yes,The school administration will ensure the safety of the learners,I am happy to go back to school
Somewhat,I am not sure,I wish the school to be open
Somewhat,I don't know,I wish the school to be open
Somewhat,I don't know,I wish the school to be open
Yes,The school administration will ensure the learners safety ,It is good for the school to get reopened
Yes,The school administration will ensure the safety of the learners in the school,It is good for the learners to get educated
Yes,Because the teachers are in the school to help the learners to know the preventive measures,It is good for the learners to get knowledge in school
Yes,The school administration will ensure the safety of the learners about the pandemic,I am happy for the school to get reopened because most of the learners are spoiling
Yes,The school administration will ensure the safety of the learners in the school,I am willing to go back to school
Yes,To protect learners from contracting the virus,My question is will the government change the calendar or not?
Somewhat,Because of limited resources,I wants the schools to reopen so that our children can go to back school.
Somewhat,School may not have enough space to practice these safety measures.,I miss my school and my friends
Somewhat,School may have little resources,We needs our children to learn
No,Our school's environment is poor,I wants to go back to the class
Somewhat,School may lack some resources,Opening of the school is very important in order to keep our children busy.
Somewhat,I'm not sure,It's better school to reopen next year so that it gives sometimes to do some small business.
Somewhat,Lack of resources,We needs our children to be back to the classes.
Somewhat,Children may not fellow what teachers,We needs our children to be educated.
No,Poor environment,I wants to go back to my school
Somewhat,I'm not sure whether the school administration will be able to provide  water soaps for the learners to wash their hands.,I wants the school to reopen as soon as possible.
Yes,We should fellow their instructions,I wants the schools to reopen tomorrow
Somewhat,I needs enough funds , We pray so that school should  reopen soon
Yes,My teachers may provides the prevent materials of covids19.,I just wants to go back to my class.
Somewhat,There might be lack of something.,I wants my children to go back to the classes
Somewhat,Our school is congested,I miss my school
Yes,We have enough wash facilities in our school,I wants the government to open for us school.
Somewhat,Schools lack basic facilities,We needs the school to reopen soon.
Yes,I have enough space in my school to accommodate my learners,I needs the school to open as soon as possible
Somewhat,Lack of resources,I wants my children to go back to school
Somewhat,Lack of resources,I needs to go back to school
Yes,Learners are ready to go back to school,I wants my children to go back to school
No,Our school's environment is poor,I wants to go back to the class
Yes,The school administration will ensure the safety of the learners,It is good for the school to get reopened
No,No time,We school to open
Yes,Because partners Will provide protection materials ,I need school to open so that I continue with my studies because with our future will be nothing
Somewhat,I don't know,Let the school to be open
Yes,The school administration will ensure the safety of the learners from the pandemic,I need to go back to school to learn
Yes,The teachers know better.,None
Yes,Because there is enough classrooms,No
No,None,None
Somewhat,Teachers know better,No
Somewhat,Teachers know better,No
No,He didn't know,No
